time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
1608174360,22122.8,22159.9,22097.4,22097.4,26.02,576189.37,force_direct,
1608174420,22169.7,22176.9,22118.8,22122.8,32.84,727445.94,force_direct,
1608174480,22138.9,22171.5,22131.8,22169.7,9.356,207269.31,force_direct,
1608174540,22173.5,22176.7,22111,22138.9,7.407,164095.05,force_direct,
1608174600,22155,22173.5,22131.5,22173.5,13.58,300713.56,force_direct,
1608174660,22115.7,22155,22100,22155,32.44,717185.64,force_direct,
1608174720,22129.7,22130,22115.7,22115.7,23.61,522432.58,force_direct,
1608174780,22120.3,22129.9,22109.1,22129.7,19.73,436558.93,force_direct,
1608174840,22130,22130,22105.5,22120.3,27.86,616227.57,force_direct,
1608174900,22075,22130,22075,22130,16.08,355302.45,force_direct,
1608174960,22041.3,22097.3,22029.7,22075,26.07,575042.82,force_direct,
1608175020,22050,22050,22010,22041.3,11.68,257402.9,force_direct,
1608175080,22070.1,22077,22050,22050,12.99,286603.48,force_direct,
1608175140,22071.7,22071.7,22070,22070.1,4.302,94945.65,force_direct,
1608175200,22029,22082.2,22029,22071.7,25.46,561896.36,force_direct,
1608175260,21895.6,22041.3,21815.1,22029,144.48,3169704.95,force_direct,
1608175320,21900,21945.9,21893.5,21895.6,18.91,414434.37,force_direct,
1608175380,21811.3,21900,21708.7,21900,114.57,2497276.94,force_direct,
1608175440,21801.1,21844.1,21780,21811.3,22.01,479983.28,force_direct,
1608175500,21800,21819.4,21770,21801.1,19.08,415847.03,force_direct,
1608175560,21800.7,21815.4,21790.5,21800,6.574,143321.56,force_direct,
1608175620,21849.6,21861.3,21800.7,21800.7,4.641,101375.91,force_direct,
1608175680,21860,21876.4,21849.6,21849.6,18.63,407316.61,force_direct,
1608175740,21800,21860.6,21800,21860,6.454,140923.95,force_direct,
1608175800,21790.5,21815.7,21788.3,21800,1.818,39642.37,force_direct,
1608175860,21748,21790.5,21725,21790.5,32.68,710596.43,force_direct,
1608175920,21748.1,21750,21726.3,21748,12.6,274074.26,force_direct,
1608175980,21787.3,21795.5,21748.1,21748.1,7.397,160920.48,force_direct,
1608176040,21818.3,21818.3,21787.1,21787.3,15.7,342357.9,force_direct,
1608176100,21856,21856,21809.5,21818.3,6.422,140245.08,force_direct,
1608176160,21850.8,21887.3,21850.8,21856,9.678,211553.1,force_direct,
1608176220,21850.9,21870.4,21850.8,21850.8,9.267,202527.1,force_direct,
1608176280,21851.1,21857,21850.8,21850.9,20.49,447661.36,force_direct,
1608176340,21851.9,21852,21850.8,21851.1,1.422,31065.25,force_direct,
1608176400,21850.1,21861.9,21850,21851.9,9.159,200193.49,force_direct,
1608176460,21856,21856,21833.2,21850.1,1.308,28559.26,force_direct,
